<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VOW3-TDG;D;26.06.2019;0:00:00;145.0200000;147.9200000;145.0200000;147.3000000;553516
VOW3-TDG;D;27.06.2019;0:00:00;148.2000000;149.9200000;147.0600000;147.4400000;668827
VOW3-TDG;D;28.06.2019;0:00:00;147.1000000;148.4400000;146.4800000;148.2400000;552753
VOW3-TDG;D;01.07.2019;0:00:00;150.4000000;151.7400000;149.0400000;149.9400000;809637
VOW3-TDG;D;02.07.2019;0:00:00;150.3800000;151.4400000;149.1400000;151.1600000;494167
VOW3-TDG;D;03.07.2019;0:00:00;151.0000000;154.5400000;150.4600000;153.4600000;1080983
VOW3-TDG;D;04.07.2019;0:00:00;153.5800000;155.4800000;153.1800000;154.7200000;358798
VOW3-TDG;D;05.07.2019;0:00:00;155.2200000;155.3800000;153.3000000;154.1800000;449264
VOW3-TDG;D;08.07.2019;0:00:00;153.5000000;156.2600000;153.5000000;154.9200000;619320
VOW3-TDG;D;09.07.2019;0:00:00;153.8400000;154.2800000;151.8200000;154.0000000;786174
VOW3-TDG;D;10.07.2019;0:00:00;154.0000000;155.5200000;152.3600000;152.6800000;514554
VOW3-TDG;D;11.07.2019;0:00:00;153.4800000;154.3000000;151.4200000;152.1800000;491885
VOW3-TDG;D;12.07.2019;0:00:00;149.8800000;154.9200000;149.6000000;153.4000000;905498
VOW3-TDG;D;15.07.2019;0:00:00;154.3400000;155.0800000;153.7200000;154.4600000;480882
VOW3-TDG;D;16.07.2019;0:00:00;154.0800000;155.4200000;153.0800000;155.1000000;538408
VOW3-TDG;D;17.07.2019;0:00:00;154.4600000;155.5600000;153.0200000;153.1000000;412419
VOW3-TDG;D;18.07.2019;0:00:00;153.0600000;153.2800000;151.4200000;151.4200000;518922
VOW3-TDG;D;19.07.2019;0:00:00;151.6600000;153.2000000;151.0400000;151.3600000;612183
VOW3-TDG;D;22.07.2019;0:00:00;150.8600000;152.9400000;150.8200000;151.5200000;387837
VOW3-TDG;D;23.07.2019;0:00:00;151.6000000;158.1200000;151.6000000;157.1400000;1447400
VOW3-TDG;D;24.07.2019;0:00:00;157.0200000;160.2800000;156.0600000;159.3200000;1150992
VOW3-TDG;D;25.07.2019;0:00:00;160.8800000;162.0400000;152.9600000;154.7000000;1746168
VOW3-TDG;D;26.07.2019;0:00:00;155.1200000;156.3600000;153.9000000;155.5600000;806557
VOW3-TDG;D;29.07.2019;0:00:00;154.9200000;155.3000000;152.2000000;153.1200000;710803
VOW3-TDG;D;30.07.2019;0:00:00;152.7200000;153.4600000;150.0400000;151.7000000;895646
VOW3-TDG;D;31.07.2019;0:00:00;151.6200000;153.2800000;151.1400000;151.3800000;540715
VOW3-TDG;D;01.08.2019;0:00:00;150.8000000;151.8000000;149.5000000;150.8000000;608978
VOW3-TDG;D;02.08.2019;0:00:00;147.3600000;148.0000000;143.6400000;146.1000000;1723664
VOW3-TDG;D;05.08.2019;0:00:00;144.0200000;145.3400000;141.1400000;143.4000000;1132047
VOW3-TDG;D;06.08.2019;0:00:00;143.2000000;145.0200000;142.3800000;143.1600000;734047
VOW3-TDG;D;07.08.2019;0:00:00;144.0800000;145.1600000;141.5200000;142.9000000;674335
VOW3-TDG;D;08.08.2019;0:00:00;145.0000000;145.0000000;142.9400000;143.8400000;500114
VOW3-TDG;D;09.08.2019;0:00:00;143.5400000;143.7200000;140.4800000;141.0400000;867010
VOW3-TDG;D;12.08.2019;0:00:00;141.9000000;142.5000000;140.0400000;141.1000000;498795
VOW3-TDG;D;13.08.2019;0:00:00;140.0000000;145.1600000;139.3600000;143.1000000;1141817
VOW3-TDG;D;14.08.2019;0:00:00;143.1000000;143.1000000;138.6800000;139.4600000;877677
VOW3-TDG;D;15.08.2019;0:00:00;140.8800000;141.1200000;136.9400000;138.3400000;859202
VOW3-TDG;D;16.08.2019;0:00:00;138.9600000;140.0000000;137.9600000;139.7600000;550045
VOW3-TDG;D;19.08.2019;0:00:00;141.3400000;143.1600000;140.9800000;142.2200000;514642
VOW3-TDG;D;20.08.2019;0:00:00;141.8200000;143.0600000;140.7000000;141.1600000;360367
VOW3-TDG;D;21.08.2019;0:00:00;141.3400000;144.1600000;141.3000000;142.9400000;439887
VOW3-TDG;D;22.08.2019;0:00:00;142.5000000;144.8400000;141.9000000;142.7800000;569494
VOW3-TDG;D;23.08.2019;0:00:00;143.3200000;144.1200000;140.8600000;141.5400000;763020
VOW3-TDG;D;26.08.2019;0:00:00;140.9200000;142.6600000;140.1200000;141.8400000;539034
VOW3-TDG;D;27.08.2019;0:00:00;142.3200000;145.0000000;141.5600000;143.5000000;558652
VOW3-TDG;D;28.08.2019;0:00:00;143.5000000;143.9600000;142.1200000;143.6600000;281418
VOW3-TDG;D;29.08.2019;0:00:00;143.4600000;146.2000000;142.7800000;145.3200000;599658
VOW3-TDG;D;30.08.2019;0:00:00;145.5400000;148.3000000;145.5000000;145.8600000;651063
VOW3-TDG;D;02.09.2019;0:00:00;145.6600000;146.9400000;145.2200000;146.5200000;311077
VOW3-TDG;D;03.09.2019;0:00:00;146.7600000;147.0800000;145.5000000;146.1400000;536310
VOW3-TDG;D;04.09.2019;0:00:00;148.3800000;149.2600000;147.4800000;148.0000000;595216
VOW3-TDG;D;05.09.2019;0:00:00;149.5000000;152.1000000;149.1600000;150.7800000;738363
VOW3-TDG;D;06.09.2019;0:00:00;150.8000000;152.4200000;148.7800000;150.3600000;897145
VOW3-TDG;D;09.09.2019;0:00:00;151.3800000;154.5400000;150.6400000;154.1400000;782271
VOW3-TDG;D;10.09.2019;0:00:00;154.0000000;156.3000000;153.9200000;154.5600000;823772
VOW3-TDG;D;11.09.2019;0:00:00;156.0000000;157.9000000;154.7000000;155.2400000;893334
VOW3-TDG;D;12.09.2019;0:00:00;154.6400000;157.6400000;154.1800000;157.1200000;1240555
VOW3-TDG;D;13.09.2019;0:00:00;156.9600000;159.0000000;156.6000000;158.3800000;719815
VOW3-TDG;D;16.09.2019;0:00:00;156.5000000;158.1800000;156.0200000;157.8400000;359175
VOW3-TDG;D;17.09.2019;0:00:00;156.9000000;157.2000000;154.3200000;155.7800000;484911
VOW3-TDG;D;18.09.2019;0:00:00;155.2000000;156.4600000;154.9000000;156.0000000;465635
VOW3-TDG;D;19.09.2019;0:00:00;156.1200000;158.9200000;155.4000000;158.9200000;762666
VOW3-TDG;D;20.09.2019;0:00:00;159.0000000;161.0800000;158.3600000;159.9600000;1434658
VOW3-TDG;D;23.09.2019;0:00:00;158.9000000;159.2200000;155.7400000;156.6200000;699885
VOW3-TDG;D;24.09.2019;0:00:00;156.8000000;157.3600000;151.9200000;153.0000000;1077459
VOW3-TDG;D;25.09.2019;0:00:00;151.5200000;153.5800000;151.0600000;153.4000000;650493
VOW3-TDG;D;26.09.2019;0:00:00;153.9200000;155.4200000;153.2400000;153.8600000;386614
VOW3-TDG;D;27.09.2019;0:00:00;154.3600000;155.5400000;154.2400000;154.8400000;322967
VOW3-TDG;D;30.09.2019;0:00:00;154.3600000;156.3600000;153.5600000;156.1600000;419798
VOW3-TDG;D;01.10.2019;0:00:00;156.4000000;157.6600000;153.1800000;153.8000000;516667
VOW3-TDG;D;02.10.2019;0:00:00;153.5000000;153.7400000;148.9200000;149.2800000;793576
VOW3-TDG;D;04.10.2019;0:00:00;148.9400000;149.3000000;146.5400000;147.5200000;727507
VOW3-TDG;D;07.10.2019;0:00:00;147.8400000;148.6600000;146.2000000;148.3600000;291406
VOW3-TDG;D;08.10.2019;0:00:00;149.7600000;150.1200000;146.6400000;149.1200000;561853
VOW3-TDG;D;09.10.2019;0:00:00;148.5200000;151.2600000;148.2000000;149.9600000;418011
VOW3-TDG;D;10.10.2019;0:00:00;152.0000000;154.8000000;150.8400000;154.5600000;635148
VOW3-TDG;D;11.10.2019;0:00:00;154.6600000;162.1200000;154.1400000;162.0000000;998477
VOW3-TDG;D;14.10.2019;0:00:00;160.0000000;162.2000000;159.1600000;161.9200000;872223
VOW3-TDG;D;15.10.2019;0:00:00;162.9000000;165.5000000;161.9600000;164.9000000;881157
VOW3-TDG;D;16.10.2019;0:00:00;164.1200000;169.9800000;164.0000000;169.7800000;1488250
VOW3-TDG;D;17.10.2019;0:00:00;169.3800000;173.3000000;168.9200000;170.4600000;1325743
VOW3-TDG;D;18.10.2019;0:00:00;165.2000000;169.9200000;164.1000000;169.6800000;1141586
VOW3-TDG;D;21.10.2019;0:00:00;169.5000000;172.1600000;169.5000000;171.6600000;681957
VOW3-TDG;D;22.10.2019;0:00:00;171.1000000;171.9800000;170.1800000;171.3600000;586108
VOW3-TDG;D;23.10.2019;0:00:00;168.8000000;171.9400000;168.2400000;171.8600000;588450
VOW3-TDG;D;24.10.2019;0:00:00;172.0800000;175.1600000;172.0600000;175.0400000;969192
VOW3-TDG;D;25.10.2019;0:00:00;175.0800000;176.3000000;172.2600000;172.7600000;819493
VOW3-TDG;D;28.10.2019;0:00:00;173.0000000;176.7200000;172.7600000;175.9400000;861212
VOW3-TDG;D;29.10.2019;0:00:00;176.0000000;176.1600000;172.8400000;173.2000000;739156
VOW3-TDG;D;30.10.2019;0:00:00;178.5000000;178.5000000;172.8600000;174.1800000;1298487
VOW3-TDG;D;31.10.2019;0:00:00;173.0600000;173.7200000;169.6400000;170.7000000;990094
VOW3-TDG;D;01.11.2019;0:00:00;172.1000000;173.1400000;171.2600000;172.1800000;603037
VOW3-TDG;D;04.11.2019;0:00:00;175.2000000;177.9800000;174.9000000;177.7200000;1054751
VOW3-TDG;D;05.11.2019;0:00:00;177.7200000;178.3600000;176.6400000;177.6600000;778966
VOW3-TDG;D;06.11.2019;0:00:00;177.7600000;179.9000000;177.4600000;179.4600000;784272
VOW3-TDG;D;07.11.2019;0:00:00;180.0000000;184.3200000;180.0000000;184.2800000;1014528
VOW3-TDG;D;08.11.2019;0:00:00;183.7800000;183.7800000;180.7600000;181.7800000;626339
VOW3-TDG;D;11.11.2019;0:00:00;180.0000000;181.8800000;179.0000000;181.4400000;463282
VOW3-TDG;D;12.11.2019;0:00:00;182.3200000;183.1000000;181.2400000;182.7800000;451615
VOW3-TDG;D;13.11.2019;0:00:00;181.1000000;181.6200000;179.1400000;181.0000000;566687
VOW3-TDG;D;14.11.2019;0:00:00;180.0800000;181.1800000;179.0200000;179.8200000;612724
VOW3-TDG;D;15.11.2019;0:00:00;180.6200000;183.0600000;180.3200000;182.9600000;710118
VOW3-TDG;D;18.11.2019;0:00:00;183.0000000;183.2000000;174.1400000;175.3600000;1559913
VOW3-TDG;D;19.11.2019;0:00:00;176.0800000;179.8000000;176.0800000;177.3800000;850803
VOW3-TDG;D;20.11.2019;0:00:00;176.7400000;176.7400000;174.9400000;175.9000000;500449
VOW3-TDG;D;21.11.2019;0:00:00;174.6400000;177.2800000;173.3200000;176.4200000;657709
VOW3-TDG;D;22.11.2019;0:00:00;176.2200000;178.3000000;176.0200000;177.2400000;553291
